0.500000	1.000000	7683	1	143856	0.160000 	 PFSize: 	 26 	 HypVol: 	 0.52000000 	 IGD: 	 0.00000000 	 GD: 	 0.00000000 	 MaxSpread: 	 2.00000000 	 DomOptimalPoints: 	 0 	1111000000000000000000000	1	1554253050
0.500000	1.000000	10927	0	38293	0.360000 	 PFSize: 	 26 	 HypVol: 	 0.52000000 	 IGD: 	 0.00000000 	 GD: 	 0.00000000 	 MaxSpread: 	 2.00000000 	 DomOptimalPoints: 	 0 	1111111110000000000000000	0	1554253056
0.500000	1.000000	3914	0	141817	0.480000 	 PFSize: 	 26 	 HypVol: 	 0.52000000 	 IGD: 	 0.00000000 	 GD: 	 0.00000000 	 MaxSpread: 	 2.00000000 	 DomOptimalPoints: 	 0 	1111111111110000000000000	1	1554253061
0.500000	1.000000	3079	0	169078	0.360000 	 PFSize: 	 26 	 HypVol: 	 0.52000000 	 IGD: 	 0.00000000 	 GD: 	 0.00000000 	 MaxSpread: 	 2.00000000 	 DomOptimalPoints: 	 0 	1111111110000000000000000	20	1554253079
0.500000	1.000000	1648	0	70665	0.360000 	 PFSize: 	 26 	 HypVol: 	 0.52000000 	 IGD: 	 0.00000000 	 GD: 	 0.00000000 	 MaxSpread: 	 2.00000000 	 DomOptimalPoints: 	 0 	1111111110000000000000000	6	1554253079
0.500000	1.000000	9782	0	71404	0.160000 	 PFSize: 	 26 	 HypVol: 	 0.52000000 	 IGD: 	 0.00000000 	 GD: 	 0.00000000 	 MaxSpread: 	 2.00000000 	 DomOptimalPoints: 	 0 	1111000000000000000000000	1	1554253089
0.500000	1.000000	8477	1	78879	0.120000 	 PFSize: 	 26 	 HypVol: 	 0.52000000 	 IGD: 	 0.00000000 	 GD: 	 0.00000000 	 MaxSpread: 	 2.00000000 	 DomOptimalPoints: 	 0 	1110000000000000000000000	3	1554253099
0.500000	1.000000	1544	1	32682	0.520000 	 PFSize: 	 26 	 HypVol: 	 0.52000000 	 IGD: 	 0.00000000 	 GD: 	 0.00000000 	 MaxSpread: 	 2.00000000 	 DomOptimalPoints: 	 0 	1111111111111000000000000	7	1554253113
0.500000	1.000000	3037	0	844697	0.480000 	 PFSize: 	 26 	 HypVol: 	 0.52000000 	 IGD: 	 0.00000000 	 GD: 	 0.00000000 	 MaxSpread: 	 2.00000000 	 DomOptimalPoints: 	 0 	1111111111110000000000000	30	1554253116
0.500000	1.000000	1428	1	136816	0.200000 	 PFSize: 	 26 	 HypVol: 	 0.52000000 	 IGD: 	 0.00000000 	 GD: 	 0.00000000 	 MaxSpread: 	 2.00000000 	 DomOptimalPoints: 	 0 	1111100000000000000000000	4	1554253121
0.500000	1.000000	8593	0	23235	0.120000 	 PFSize: 	 26 	 HypVol: 	 0.52000000 	 IGD: 	 0.00000000 	 GD: 	 0.00000000 	 MaxSpread: 	 2.00000000 	 DomOptimalPoints: 	 0 	1110000000000000000000000	0	1554253128
