0.926404	1.000000	1178	0	1178	1.000000 	 GenLen: 	 25 	 PFSize: 	 26 	 HypVol: 	 0.52000000 	 IGD: 	 0.00000000 	 GD: 	 0.00000000 	 MaxSpread: 	 2.00000000 	 DomOptimalPoints: 	 0 	 LastPfUpdate: 	 1130  	LogFile:	_mop3ok_lotz_25_000.txt	1111111111111111111111111	0	1563056552
0.909148	1.000000	1072	0	2226	1.000000 	 GenLen: 	 25 	 PFSize: 	 26 	 HypVol: 	 0.52000000 	 IGD: 	 0.00000000 	 GD: 	 0.00000000 	 MaxSpread: 	 2.00000000 	 DomOptimalPoints: 	 0 	 LastPfUpdate: 	 2178  	LogFile:	_mop3ok_lotz_25_001.txt	1111111111111111111111111	0	1563056560
0.906887	1.000000	994	0	2096	0.000000 	 GenLen: 	 25 	 PFSize: 	 26 	 HypVol: 	 0.52000000 	 IGD: 	 0.00000000 	 GD: 	 0.00000000 	 MaxSpread: 	 2.00000000 	 DomOptimalPoints: 	 0 	 LastPfUpdate: 	 2048  	LogFile:	_mop3ok_lotz_25_002.txt	0000000000000000000000000	0	1563056565
0.982604	1.000000	420	0	3782	0.000000 	 GenLen: 	 25 	 PFSize: 	 26 	 HypVol: 	 0.52000000 	 IGD: 	 0.00000000 	 GD: 	 0.00000000 	 MaxSpread: 	 2.00000000 	 DomOptimalPoints: 	 0 	 LastPfUpdate: 	 3734  	LogFile:	_mop3ok_lotz_25_003.txt	0000000000000000000000000	0	1563056570
0.743278	1.000000	418	0	1044	1.000000 	 GenLen: 	 25 	 PFSize: 	 26 	 HypVol: 	 0.52000000 	 IGD: 	 0.00000000 	 GD: 	 0.00000000 	 MaxSpread: 	 2.00000000 	 DomOptimalPoints: 	 0 	 LastPfUpdate: 	 996  	LogFile:	_mop3ok_lotz_25_004.txt	1111111111111111111111111	0	1563056575
0.645014	1.000000	1148	0	1148	1.000000 	 GenLen: 	 25 	 PFSize: 	 26 	 HypVol: 	 0.52000000 	 IGD: 	 0.00000000 	 GD: 	 0.00000000 	 MaxSpread: 	 2.00000000 	 DomOptimalPoints: 	 0 	 LastPfUpdate: 	 1100  	LogFile:	_mop3ok_lotz_25_005.txt	1111111111111111111111111	0	1563056580
0.962109	1.000000	2396	0	2956	0.000000 	 GenLen: 	 25 	 PFSize: 	 26 	 HypVol: 	 0.52000000 	 IGD: 	 0.00000000 	 GD: 	 0.00000000 	 MaxSpread: 	 2.00000000 	 DomOptimalPoints: 	 0 	 LastPfUpdate: 	 2572  	LogFile:	_mop3ok_lotz_25_006.txt	0000000000000000000000000	0	1563056585
0.920865	1.000000	480	0	1066	1.000000 	 GenLen: 	 25 	 PFSize: 	 26 	 HypVol: 	 0.52000000 	 IGD: 	 0.00000000 	 GD: 	 0.00000000 	 MaxSpread: 	 2.00000000 	 DomOptimalPoints: 	 0 	 LastPfUpdate: 	 1018  	LogFile:	_mop3ok_lotz_25_007.txt	1111111111111111111111111	0	1563056590
0.646718	1.000000	526	0	970	1.000000 	 GenLen: 	 25 	 PFSize: 	 26 	 HypVol: 	 0.52000000 	 IGD: 	 0.00000000 	 GD: 	 0.00000000 	 MaxSpread: 	 2.00000000 	 DomOptimalPoints: 	 0 	 LastPfUpdate: 	 922  	LogFile:	_mop3ok_lotz_25_008.txt	1111111111111111111111111	0	1563056595
0.984733	1.000000	2714	0	3344	0.000000 	 GenLen: 	 25 	 PFSize: 	 26 	 HypVol: 	 0.52000000 	 IGD: 	 0.00000000 	 GD: 	 0.00000000 	 MaxSpread: 	 2.00000000 	 DomOptimalPoints: 	 0 	 LastPfUpdate: 	 3296  	LogFile:	_mop3ok_lotz_25_009.txt	0000000000000000000000000	0	1563056600
0.901608	1.000000	470	0	1072	0.000000 	 GenLen: 	 25 	 PFSize: 	 26 	 HypVol: 	 0.52000000 	 IGD: 	 0.00000000 	 GD: 	 0.00000000 	 MaxSpread: 	 2.00000000 	 DomOptimalPoints: 	 0 	 LastPfUpdate: 	 1024  	LogFile:	_mop3ok_lotz_25_010.txt	0000000000000000000000000	0	1563056605
