24.916718	25.000000	1128	0	1128	1.000000 	 GenLen: 	 25 	 PFSize: 	 6 	 HypVol: 	 15.00000000 	 IGD: 	 0.00000000 	 GD: 	 0.00000000 	 MaxSpread: 	 10.00000000 	 DomOptimalPoints: 	 0 	 LastPfUpdate: 	 1124  	LogFile:	_mop3ok_t5_it5_25_000.txt	1111111111111111111111111	0	1563057868
24.078545	25.000000	916	0	916	0.000000 	 GenLen: 	 25 	 PFSize: 	 6 	 HypVol: 	 15.00000000 	 IGD: 	 0.00000000 	 GD: 	 0.00000000 	 MaxSpread: 	 10.00000000 	 DomOptimalPoints: 	 0 	 LastPfUpdate: 	 908  	LogFile:	_mop3ok_t5_it5_25_001.txt	0000000000000000000000000	0	1563057873
24.612822	25.000000	700	0	700	1.000000 	 GenLen: 	 25 	 PFSize: 	 6 	 HypVol: 	 15.00000000 	 IGD: 	 0.00000000 	 GD: 	 0.00000000 	 MaxSpread: 	 10.00000000 	 DomOptimalPoints: 	 0 	 LastPfUpdate: 	 694  	LogFile:	_mop3ok_t5_it5_25_002.txt	1111111111111111111111111	0	1563057878
23.939041	25.000000	374	0	688	1.000000 	 GenLen: 	 25 	 PFSize: 	 6 	 HypVol: 	 15.00000000 	 IGD: 	 0.00000000 	 GD: 	 0.00000000 	 MaxSpread: 	 10.00000000 	 DomOptimalPoints: 	 0 	 LastPfUpdate: 	 682  	LogFile:	_mop3ok_t5_it5_25_003.txt	1111111111111111111111111	0	1563057886
23.597572	25.000000	812	0	812	1.000000 	 GenLen: 	 25 	 PFSize: 	 6 	 HypVol: 	 15.00000000 	 IGD: 	 0.00000000 	 GD: 	 0.00000000 	 MaxSpread: 	 10.00000000 	 DomOptimalPoints: 	 0 	 LastPfUpdate: 	 806  	LogFile:	_mop3ok_t5_it5_25_004.txt	1111111111111111111111111	0	1563057891
23.808828	25.000000	416	0	526	0.000000 	 GenLen: 	 25 	 PFSize: 	 6 	 HypVol: 	 15.00000000 	 IGD: 	 0.00000000 	 GD: 	 0.00000000 	 MaxSpread: 	 10.00000000 	 DomOptimalPoints: 	 0 	 LastPfUpdate: 	 516  	LogFile:	_mop3ok_t5_it5_25_005.txt	0000000000000000000000000	0	1563057896
23.867559	25.000000	820	0	1038	0.000000 	 GenLen: 	 25 	 PFSize: 	 6 	 HypVol: 	 15.00000000 	 IGD: 	 0.00000000 	 GD: 	 0.00000000 	 MaxSpread: 	 10.00000000 	 DomOptimalPoints: 	 0 	 LastPfUpdate: 	 1028  	LogFile:	_mop3ok_t5_it5_25_006.txt	0000000000000000000000000	0	1563057901
24.091022	25.000000	1186	0	1592	1.000000 	 GenLen: 	 25 	 PFSize: 	 6 	 HypVol: 	 15.00000000 	 IGD: 	 0.00000000 	 GD: 	 0.00000000 	 MaxSpread: 	 10.00000000 	 DomOptimalPoints: 	 0 	 LastPfUpdate: 	 1586  	LogFile:	_mop3ok_t5_it5_25_007.txt	1111111111111111111111111	0	1563057906
24.602310	25.000000	498	0	712	0.000000 	 GenLen: 	 25 	 PFSize: 	 6 	 HypVol: 	 15.00000000 	 IGD: 	 0.00000000 	 GD: 	 0.00000000 	 MaxSpread: 	 10.00000000 	 DomOptimalPoints: 	 0 	 LastPfUpdate: 	 702  	LogFile:	_mop3ok_t5_it5_25_008.txt	0000000000000000000000000	0	1563057911
24.650867	25.000000	1700	0	1808	1.000000 	 GenLen: 	 25 	 PFSize: 	 6 	 HypVol: 	 15.00000000 	 IGD: 	 0.00000000 	 GD: 	 0.00000000 	 MaxSpread: 	 10.00000000 	 DomOptimalPoints: 	 0 	 LastPfUpdate: 	 1802  	LogFile:	_mop3ok_t5_it5_25_009.txt	1111111111111111111111111	0	1563057916
22.758781	25.000000	608	0	608	0.000000 	 GenLen: 	 25 	 PFSize: 	 6 	 HypVol: 	 15.00000000 	 IGD: 	 0.00000000 	 GD: 	 0.00000000 	 MaxSpread: 	 10.00000000 	 DomOptimalPoints: 	 0 	 LastPfUpdate: 	 604  	LogFile:	_mop3ok_t5_it5_25_010.txt	0000000000000000000000000	0	1563057921
24.691832	25.000000	808	0	1328	1.000000 	 GenLen: 	 25 	 PFSize: 	 6 	 HypVol: 	 15.00000000 	 IGD: 	 0.00000000 	 GD: 	 0.00000000 	 MaxSpread: 	 10.00000000 	 DomOptimalPoints: 	 0 	 LastPfUpdate: 	 1322  	LogFile:	_mop3ok_t5_it5_25_011.txt	1111111111111111111111111	0	1563057926
24.542019	25.000000	624	0	624	1.000000 	 GenLen: 	 25 	 PFSize: 	 6 	 HypVol: 	 15.00000000 	 IGD: 	 0.00000000 	 GD: 	 0.00000000 	 MaxSpread: 	 10.00000000 	 DomOptimalPoints: 	 0 	 LastPfUpdate: 	 564  	LogFile:	_mop3ok_t5_it5_25_012.txt	1111111111111111111111111	0	1563057931
23.689331	25.000000	396	0	820	0.000000 	 GenLen: 	 25 	 PFSize: 	 6 	 HypVol: 	 15.00000000 	 IGD: 	 0.00000000 	 GD: 	 0.00000000 	 MaxSpread: 	 10.00000000 	 DomOptimalPoints: 	 0 	 LastPfUpdate: 	 810  	LogFile:	_mop3ok_t5_it5_25_013.txt	0000000000000000000000000	0	1563057936
24.103367	25.000000	400	0	696	1.000000 	 GenLen: 	 25 	 PFSize: 	 6 	 HypVol: 	 15.00000000 	 IGD: 	 0.00000000 	 GD: 	 0.00000000 	 MaxSpread: 	 10.00000000 	 DomOptimalPoints: 	 0 	 LastPfUpdate: 	 636  	LogFile:	_mop3ok_t5_it5_25_014.txt	1111111111111111111111111	0	1563057941
24.636288	25.000000	934	0	934	1.000000 	 GenLen: 	 25 	 PFSize: 	 6 	 HypVol: 	 15.00000000 	 IGD: 	 0.00000000 	 GD: 	 0.00000000 	 MaxSpread: 	 10.00000000 	 DomOptimalPoints: 	 0 	 LastPfUpdate: 	 924  	LogFile:	_mop3ok_t5_it5_25_015.txt	1111111111111111111111111	0	1563057949
24.063150	25.000000	994	0	1204	1.000000 	 GenLen: 	 25 	 PFSize: 	 6 	 HypVol: 	 15.00000000 	 IGD: 	 0.00000000 	 GD: 	 0.00000000 	 MaxSpread: 	 10.00000000 	 DomOptimalPoints: 	 0 	 LastPfUpdate: 	 1200  	LogFile:	_mop3ok_t5_it5_25_016.txt	1111111111111111111111111	0	1563057954
24.762430	25.000000	2186	0	2294	1.000000 	 GenLen: 	 25 	 PFSize: 	 6 	 HypVol: 	 15.00000000 	 IGD: 	 0.00000000 	 GD: 	 0.00000000 	 MaxSpread: 	 10.00000000 	 DomOptimalPoints: 	 0 	 LastPfUpdate: 	 2290  	LogFile:	_mop3ok_t5_it5_25_017.txt	1111111111111111111111111	0	1563057959
24.645647	25.000000	296	0	704	1.000000 	 GenLen: 	 25 	 PFSize: 	 6 	 HypVol: 	 15.00000000 	 IGD: 	 0.00000000 	 GD: 	 0.00000000 	 MaxSpread: 	 10.00000000 	 DomOptimalPoints: 	 0 	 LastPfUpdate: 	 700  	LogFile:	_mop3ok_t5_it5_25_018.txt	1111111111111111111111111	0	1563057964
22.672888	25.000000	306	0	518	0.600000 	 GenLen: 	 25 	 PFSize: 	 6 	 HypVol: 	 15.00000000 	 IGD: 	 0.00000000 	 GD: 	 0.00000000 	 MaxSpread: 	 10.00000000 	 DomOptimalPoints: 	 0 	 LastPfUpdate: 	 512  	LogFile:	_mop3ok_t5_it5_25_019.txt	1111111111111110000000000	0	1563057969
24.935841	25.000000	1140	0	1140	0.000000 	 GenLen: 	 25 	 PFSize: 	 6 	 HypVol: 	 15.00000000 	 IGD: 	 0.00000000 	 GD: 	 0.00000000 	 MaxSpread: 	 10.00000000 	 DomOptimalPoints: 	 0 	 LastPfUpdate: 	 1136  	LogFile:	_mop3ok_t5_it5_25_020.txt	0000000000000000000000000	0	1563057974
24.708921	25.000000	994	0	994	0.000000 	 GenLen: 	 25 	 PFSize: 	 6 	 HypVol: 	 15.00000000 	 IGD: 	 0.00000000 	 GD: 	 0.00000000 	 MaxSpread: 	 10.00000000 	 DomOptimalPoints: 	 0 	 LastPfUpdate: 	 990  	LogFile:	_mop3ok_t5_it5_25_021.txt	0000000000000000000000000	0	1563057979
23.676785	25.000000	582	0	582	0.000000 	 GenLen: 	 25 	 PFSize: 	 6 	 HypVol: 	 15.00000000 	 IGD: 	 0.00000000 	 GD: 	 0.00000000 	 MaxSpread: 	 10.00000000 	 DomOptimalPoints: 	 0 	 LastPfUpdate: 	 576  	LogFile:	_mop3ok_t5_it5_25_022.txt	0000000000000000000000000	0	1563057984
23.878275	25.000000	698	0	698	1.000000 	 GenLen: 	 25 	 PFSize: 	 6 	 HypVol: 	 15.00000000 	 IGD: 	 0.00000000 	 GD: 	 0.00000000 	 MaxSpread: 	 10.00000000 	 DomOptimalPoints: 	 0 	 LastPfUpdate: 	 694  	LogFile:	_mop3ok_t5_it5_25_023.txt	1111111111111111111111111	0	1563057989
24.277796	25.000000	1500	0	1606	1.000000 	 GenLen: 	 25 	 PFSize: 	 6 	 HypVol: 	 15.00000000 	 IGD: 	 0.00000000 	 GD: 	 0.00000000 	 MaxSpread: 	 10.00000000 	 DomOptimalPoints: 	 0 	 LastPfUpdate: 	 1602  	LogFile:	_mop3ok_t5_it5_25_024.txt	1111111111111111111111111	0	1563057994
22.753006	25.000000	514	0	738	1.000000 	 GenLen: 	 25 	 PFSize: 	 6 	 HypVol: 	 15.00000000 	 IGD: 	 0.00000000 	 GD: 	 0.00000000 	 MaxSpread: 	 10.00000000 	 DomOptimalPoints: 	 0 	 LastPfUpdate: 	 730  	LogFile:	_mop3ok_t5_it5_25_025.txt	1111111111111111111111111	0	1563057999
24.379660	25.000000	710	0	710	1.000000 	 GenLen: 	 25 	 PFSize: 	 6 	 HypVol: 	 15.00000000 	 IGD: 	 0.00000000 	 GD: 	 0.00000000 	 MaxSpread: 	 10.00000000 	 DomOptimalPoints: 	 0 	 LastPfUpdate: 	 706  	LogFile:	_mop3ok_t5_it5_25_026.txt	1111111111111111111111111	0	1563058004
24.315435	25.000000	388	0	602	1.000000 	 GenLen: 	 25 	 PFSize: 	 6 	 HypVol: 	 15.00000000 	 IGD: 	 0.00000000 	 GD: 	 0.00000000 	 MaxSpread: 	 10.00000000 	 DomOptimalPoints: 	 0 	 LastPfUpdate: 	 598  	LogFile:	_mop3ok_t5_it5_25_027.txt	1111111111111111111111111	0	1563058012
24.490883	25.000000	1044	0	1044	1.000000 	 GenLen: 	 25 	 PFSize: 	 6 	 HypVol: 	 15.00000000 	 IGD: 	 0.00000000 	 GD: 	 0.00000000 	 MaxSpread: 	 10.00000000 	 DomOptimalPoints: 	 0 	 LastPfUpdate: 	 1040  	LogFile:	_mop3ok_t5_it5_25_028.txt	1111111111111111111111111	0	1563058017
