6630561.0000000000000000	1.0000000000000000	1602	0	25000342	0.480000 	 GenLen: 	 100 	 PFSize: 	 6 	 HypVol: 	 18330485.00000000 	 IGD: 	 635399.35833333 	 GD: 	 618552.50000000 	 MaxSpread: 	 247113.00000000 	 DomOptimalPoints: 	 0 	 LastPfUpdate: 	 1146 	 LastPfUpdateTime: 	 0.01 	LogFile:	_mop3ok_knap_100_000.txt	0111101001000010101111000010011000010011010100010010100100011111011101110010001110101010011011000110	13816	1568661852
7591056.0000000000000000	1.0000000000000000	1201	0	25000342	0.580000 	 GenLen: 	 100 	 PFSize: 	 7 	 HypVol: 	 18258166.00000000 	 IGD: 	 669926.17500000 	 GD: 	 666742.71428571 	 MaxSpread: 	 283817.00000000 	 DomOptimalPoints: 	 0 	 LastPfUpdate: 	 1125 	 LastPfUpdateTime: 	 0.01 	LogFile:	_mop3ok_knap_100_001.txt	0110101000011001111010111111010010101111011011011111110010010000111000111110001011011110100011101001	13874	1568661857
8495260.0000000000000000	1.0000000000000000	1201	0	25000342	0.500000 	 GenLen: 	 100 	 PFSize: 	 5 	 HypVol: 	 18585536.00000000 	 IGD: 	 666573.38333333 	 GD: 	 774385.80000000 	 MaxSpread: 	 478309.00000000 	 DomOptimalPoints: 	 0 	 LastPfUpdate: 	 881 	 LastPfUpdateTime: 	 0.01 	LogFile:	_mop3ok_knap_100_002.txt	1011110011010010001110111001000010001100110111010110101001000100101001000110011001110111011011010001	14230	1568661862
8064420.0000000000000000	1.0000000000000000	2003	0	25000342	0.510000 	 GenLen: 	 100 	 PFSize: 	 2 	 HypVol: 	 18217470.00000000 	 IGD: 	 471243.66666667 	 GD: 	 466402.50000000 	 MaxSpread: 	 78773.00000000 	 DomOptimalPoints: 	 0 	 LastPfUpdate: 	 805 	 LastPfUpdateTime: 	 0.01 	LogFile:	_mop3ok_knap_100_003.txt	0010001001111010000111011000011001010100001010111111001100110101011111100101110000110100111000011011	13908	1568661867
6913964.0000000000000000	1.0000000000000000	1201	0	25000342	0.460000 	 GenLen: 	 100 	 PFSize: 	 3 	 HypVol: 	 18865951.00000000 	 IGD: 	 634636.03333333 	 GD: 	 757078.66666667 	 MaxSpread: 	 233162.00000000 	 DomOptimalPoints: 	 0 	 LastPfUpdate: 	 716 	 LastPfUpdateTime: 	 0.00 	LogFile:	_mop3ok_knap_100_004.txt	0010011010100010101000111100010100011101110110101010110100100000011101010011100010010001111101100000	14068	1568661872
6734719.0000000000000000	1.0000000000000000	2003	0	25000342	0.490000 	 GenLen: 	 100 	 PFSize: 	 6 	 HypVol: 	 18763586.00000000 	 IGD: 	 590192.62500000 	 GD: 	 644838.00000000 	 MaxSpread: 	 369965.00000000 	 DomOptimalPoints: 	 0 	 LastPfUpdate: 	 1126 	 LastPfUpdateTime: 	 0.01 	LogFile:	_mop3ok_knap_100_005.txt	1101001101100110010100010000001100111101111010000001000111010010100100011001000001110111110111100111	14146	1568661877
7651072.0000000000000000	1.0000000000000000	2003	0	25000342	0.550000 	 GenLen: 	 100 	 PFSize: 	 5 	 HypVol: 	 18888957.00000000 	 IGD: 	 773671.65000000 	 GD: 	 820628.00000000 	 MaxSpread: 	 300420.00000000 	 DomOptimalPoints: 	 0 	 LastPfUpdate: 	 895 	 LastPfUpdateTime: 	 0.01 	LogFile:	_mop3ok_knap_100_006.txt	1110110110101010011110101110100100010010000001111110111011101100000100110111101111000100110111001100	14228	1568661882
7515510.0000000000000000	1.0000000000000000	1602	0	25000342	0.520000 	 GenLen: 	 100 	 PFSize: 	 2 	 HypVol: 	 18282041.00000000 	 IGD: 	 538652.45833333 	 GD: 	 506033.50000000 	 MaxSpread: 	 92105.00000000 	 DomOptimalPoints: 	 0 	 LastPfUpdate: 	 1156 	 LastPfUpdateTime: 	 0.01 	LogFile:	_mop3ok_knap_100_007.txt	1101011101010111111111001100111100100001101001010000001010011011100100001010011111111100100000011100	14167	1568661887
8307065.0000000000000000	1.0000000000000000	1201	0	25000342	0.540000 	 GenLen: 	 100 	 PFSize: 	 10 	 HypVol: 	 19291515.00000000 	 IGD: 	 863804.01666667 	 GD: 	 848652.70000000 	 MaxSpread: 	 380360.00000000 	 DomOptimalPoints: 	 0 	 LastPfUpdate: 	 1075 	 LastPfUpdateTime: 	 0.01 	LogFile:	_mop3ok_knap_100_008.txt	0111111011111100111110111000011100011001000100101111110001110000011001110111000110100100110010001001	14432	1568661892
6318880.0000000000000000	1.0000000000000000	1201	0	25000342	0.490000 	 GenLen: 	 100 	 PFSize: 	 4 	 HypVol: 	 18759436.00000000 	 IGD: 	 713318.72500000 	 GD: 	 675295.00000000 	 MaxSpread: 	 151922.00000000 	 DomOptimalPoints: 	 0 	 LastPfUpdate: 	 974 	 LastPfUpdateTime: 	 0.01 	LogFile:	_mop3ok_knap_100_009.txt	0010100101000111001010011011111100011010101001100011001010100100010111010010100111001100000110111101	14389	1568661897
7548811.0000000000000000	1.0000000000000000	1602	0	25000342	0.520000 	 GenLen: 	 100 	 PFSize: 	 2 	 HypVol: 	 18227537.00000000 	 IGD: 	 431395.73333333 	 GD: 	 438156.50000000 	 MaxSpread: 	 27077.00000000 	 DomOptimalPoints: 	 0 	 LastPfUpdate: 	 553 	 LastPfUpdateTime: 	 0.00 	LogFile:	_mop3ok_knap_100_010.txt	1011111011001000101011001100111111110111010011000010000110001110101001101001100011101000111010000110	14334	1568661902
