49235406.0000000000000000	1.0000000000000000	1201	0	25000342	0.508000 	 GenLen: 	 250 	 PFSize: 	 7 	 HypVol: 	 123283779.00000000 	 IGD: 	 5804598.10954064 	 GD: 	 5549815.71428571 	 MaxSpread: 	 1189348.00000000 	 DomOptimalPoints: 	 0 	 LastPfUpdate: 	 968 	 LastPfUpdateTime: 	 0.01 	LogFile:	_mop3ok_knap_250_000.txt	0110001011101100110110100001010110001001100110000010110110000110111010111110111110010111101100000010110000111111010010011000011001110010000111011010010110101101110001100110011011000000100101110011000111011100100100000110010111010011110010101001101111	8540	1568968737
50943774.0000000000000000	1.0000000000000000	2003	0	25000342	0.512000 	 GenLen: 	 250 	 PFSize: 	 5 	 HypVol: 	 123044057.00000000 	 IGD: 	 5588548.31625442 	 GD: 	 5151453.80000000 	 MaxSpread: 	 535050.00000000 	 DomOptimalPoints: 	 0 	 LastPfUpdate: 	 934 	 LastPfUpdateTime: 	 0.01 	LogFile:	_mop3ok_knap_250_001.txt	1100101111000101001100110101011010100010111110011100000111000101111011110000101111000101101101010100010001011100011011110111110100101101111101001011001001001100000100110111001000100101100010000011101001000011101111010111011100000110000110011010011011	8515	1568968742
48930048.0000000000000000	1.0000000000000000	2404	0	25000342	0.516000 	 GenLen: 	 250 	 PFSize: 	 4 	 HypVol: 	 123502815.00000000 	 IGD: 	 5255390.33922261 	 GD: 	 5165261.50000000 	 MaxSpread: 	 459476.00000000 	 DomOptimalPoints: 	 0 	 LastPfUpdate: 	 1121 	 LastPfUpdateTime: 	 0.01 	LogFile:	_mop3ok_knap_250_002.txt	0111111100100110111110100001000011000100000111011010010110011100111011110111111110010110001101101010100010011010111101011000101011010000101000000110010001100010101001111010110001101001111010011001110010011100111010000101001011111001100100110100110110	8580	1568968747
40867584.0000000000000000	1.0000000000000000	1602	0	25000342	0.476000 	 GenLen: 	 250 	 PFSize: 	 4 	 HypVol: 	 123603192.00000000 	 IGD: 	 5907942.00706714 	 GD: 	 5421565.00000000 	 MaxSpread: 	 350001.00000000 	 DomOptimalPoints: 	 0 	 LastPfUpdate: 	 1143 	 LastPfUpdateTime: 	 0.01 	LogFile:	_mop3ok_knap_250_003.txt	1000010001101100010000011100000100010001100111000010000110000001001100110100001101001001001001011101110000000110010110011011001101010101000111010100010011110011011000100000010111111101110111100010011011001010000111011001011101110011100101110111111111	8626	1568968752
41647020.0000000000000000	1.0000000000000000	1602	0	25000342	0.504000 	 GenLen: 	 250 	 PFSize: 	 4 	 HypVol: 	 123143398.00000000 	 IGD: 	 5519131.12544170 	 GD: 	 5360259.75000000 	 MaxSpread: 	 1226088.00000000 	 DomOptimalPoints: 	 0 	 LastPfUpdate: 	 395 	 LastPfUpdateTime: 	 0.00 	LogFile:	_mop3ok_knap_250_004.txt	1111010100110010100001011100011010001000001101010001111010100111001010100110110111100001010011101010110010101001001101010100011011010100111001000001100001101111000000011100101011110001110111000010010011101100011111110110001011110011000111111011001001	8688	1568968757
45326400.0000000000000000	1.0000000000000000	1201	0	25000342	0.532000 	 GenLen: 	 250 	 PFSize: 	 3 	 HypVol: 	 123667532.00000000 	 IGD: 	 5606258.97173145 	 GD: 	 5419017.33333333 	 MaxSpread: 	 706225.00000000 	 DomOptimalPoints: 	 0 	 LastPfUpdate: 	 1053 	 LastPfUpdateTime: 	 0.01 	LogFile:	_mop3ok_knap_250_005.txt	1101010110101000101111011110001011111000000111111010011111000100001100100001010001100000011000111000011111011001010100011111110100010010111101101011101101011011011000110011001110101000111100110010111110100011001101101010011100001100101100101110101011	8651	1568968762
39357892.0000000000000000	1.0000000000000000	1201	0	25000342	0.464000 	 GenLen: 	 250 	 PFSize: 	 6 	 HypVol: 	 123320203.00000000 	 IGD: 	 5353945.45759717 	 GD: 	 5208500.33333333 	 MaxSpread: 	 896449.00000000 	 DomOptimalPoints: 	 0 	 LastPfUpdate: 	 1049 	 LastPfUpdateTime: 	 0.01 	LogFile:	_mop3ok_knap_250_006.txt	0100110111010101001111101000101000000111010011000010110010100011100011011111010110100010110000010011101100010101100000010001001011100001001001010100010000111110000011001000001000100110101101111111110101101110001010100010111101001001101000111100001010	8698	1568968767
46442592.0000000000000000	1.0000000000000000	1602	0	25000342	0.504000 	 GenLen: 	 250 	 PFSize: 	 4 	 HypVol: 	 123982963.00000000 	 IGD: 	 5492598.93286219 	 GD: 	 5730700.75000000 	 MaxSpread: 	 821525.00000000 	 DomOptimalPoints: 	 0 	 LastPfUpdate: 	 814 	 LastPfUpdateTime: 	 0.01 	LogFile:	_mop3ok_knap_250_007.txt	0100001001110001001110000010111100000001101111100001111011110101110001010110011000101011111001101111100011110001010110010001001010111101011011111000001100000010010111100110111100101100110100011010101101101010110000010111000110110010000001100110110011	8707	1568968772
47242452.0000000000000000	1.0000000000000000	1201	0	25000342	0.488000 	 GenLen: 	 250 	 PFSize: 	 6 	 HypVol: 	 123297112.00000000 	 IGD: 	 6151378.83215548 	 GD: 	 5552876.33333333 	 MaxSpread: 	 959465.00000000 	 DomOptimalPoints: 	 0 	 LastPfUpdate: 	 909 	 LastPfUpdateTime: 	 0.01 	LogFile:	_mop3ok_knap_250_008.txt	1110101011000111100001010011110110001011101101000101010010100011000010010101001110110110001010110011111101110110000101001110101111000111100000100000010011110110101100110010101110001001110101100001101111001000000010001011100100010110001011100001101100	8747	1568968777
42533694.0000000000000000	1.0000000000000000	1201	0	25000342	0.496000 	 GenLen: 	 250 	 PFSize: 	 7 	 HypVol: 	 123931734.00000000 	 IGD: 	 6243868.24381625 	 GD: 	 5845900.14285714 	 MaxSpread: 	 466429.00000000 	 DomOptimalPoints: 	 0 	 LastPfUpdate: 	 1117 	 LastPfUpdateTime: 	 0.01 	LogFile:	_mop3ok_knap_250_009.txt	0111000100001000001111101100001011100100101011111000101101001010101111100011001101100100101010011100011110111010011011111010010100110100010010000011111010010111100101011001101010101101000100001101101001000010001110100001001001010011010110110011011101	8774	1568968782
39965522.0000000000000000	1.0000000000000000	2404	0	25000342	0.448000 	 GenLen: 	 250 	 PFSize: 	 7 	 HypVol: 	 121421694.00000000 	 IGD: 	 5630543.92402827 	 GD: 	 5177299.28571429 	 MaxSpread: 	 2058314.00000000 	 DomOptimalPoints: 	 0 	 LastPfUpdate: 	 1149 	 LastPfUpdateTime: 	 0.01 	LogFile:	_mop3ok_knap_250_010.txt	0010000111111000011011101110010010101100101100010101100100101110010000011001000101111001000000101111110010100001100000011011011100000110001111000100100110010010111000001100010000001111111001110001100110011010101000001101011001100010000010100001111100	8837	1568968787
