0.134722	1.000000	650	0	32906678	0.304348 	 PFSize: 	 4 	 HypVol: 	 0.99145535 	 IGD: 	 0.00000000 	 GD: 	 0.00000000 	 MaxSpread: 	 0.20034208 	 DomOptimalPoints: 	 0 	 LastPfUpdate: 	 1771  	LogFile:	_mogomea_zz_paint_06_02__000.txt	0001010000001100010101000101000001001010001010	920	1555430389
0.134722	1.000000	376	0	32941028	0.304348 	 PFSize: 	 4 	 HypVol: 	 0.99145535 	 IGD: 	 0.00000000 	 GD: 	 0.00000000 	 MaxSpread: 	 0.20034208 	 DomOptimalPoints: 	 0 	 LastPfUpdate: 	 470  	LogFile:	_mogomea_zz_paint_06_02__001.txt	0001010000001100100100010011000000110010100001	960	1555430394
0.134722	1.000000	10	0	32927820	0.304348 	 PFSize: 	 4 	 HypVol: 	 0.99145535 	 IGD: 	 0.00000000 	 GD: 	 0.00000000 	 MaxSpread: 	 0.20034208 	 DomOptimalPoints: 	 0 	 LastPfUpdate: 	 198  	LogFile:	_mogomea_zz_paint_06_02__002.txt	0001100000001100010010001010100100001000011010	950	1555430399
0.134722	1.000000	10	0	32883481	0.304348 	 PFSize: 	 4 	 HypVol: 	 0.99145535 	 IGD: 	 0.00000000 	 GD: 	 0.00000000 	 MaxSpread: 	 0.20034208 	 DomOptimalPoints: 	 0 	 LastPfUpdate: 	 3166  	LogFile:	_mogomea_zz_paint_06_02__003.txt	0001100000001100001100100101000000101000011001	934	1555430404
0.134722	1.000000	406	0	32929890	0.304348 	 PFSize: 	 4 	 HypVol: 	 0.99145535 	 IGD: 	 0.00000000 	 GD: 	 0.00000000 	 MaxSpread: 	 0.20034208 	 DomOptimalPoints: 	 0 	 LastPfUpdate: 	 138  	LogFile:	_mogomea_zz_paint_06_02__004.txt	1000100000001100100010001011000000101000001101	887	1555431279
0.134722	1.000000	1878	0	32987896	0.304348 	 PFSize: 	 4 	 HypVol: 	 0.99145535 	 IGD: 	 0.00000000 	 GD: 	 0.00000000 	 MaxSpread: 	 0.20034208 	 DomOptimalPoints: 	 0 	 LastPfUpdate: 	 2166  	LogFile:	_mogomea_zz_paint_06_02__005.txt	1000010000001100001100001101000000101000001101	896	1555431284
0.134722	1.000000	663	0	32886946	0.304348 	 PFSize: 	 4 	 HypVol: 	 0.99145535 	 IGD: 	 0.00000000 	 GD: 	 0.00000000 	 MaxSpread: 	 0.20034208 	 DomOptimalPoints: 	 0 	 LastPfUpdate: 	 625  	LogFile:	_mogomea_zz_paint_06_02__006.txt	0001100000001100001100000111000001001000010101	884	1555431289
0.134722	1.000000	1788	0	32940532	0.304348 	 PFSize: 	 4 	 HypVol: 	 0.99145535 	 IGD: 	 0.00000000 	 GD: 	 0.00000000 	 MaxSpread: 	 0.20034208 	 DomOptimalPoints: 	 0 	 LastPfUpdate: 	 1562  	LogFile:	_mogomea_zz_paint_06_02__007.txt	1000010000001100001101100001000001010000001101	864	1555431310
0.134722	1.000000	371	0	32927838	0.304348 	 PFSize: 	 4 	 HypVol: 	 0.99145535 	 IGD: 	 0.00000000 	 GD: 	 0.00000000 	 MaxSpread: 	 0.20034208 	 DomOptimalPoints: 	 0 	 LastPfUpdate: 	 4400  	LogFile:	_mogomea_zz_paint_06_02__008.txt	0010100000001100100100000111000000101001100001	848	1555431340
0.134722	1.000000	415	0	32929196	0.304348 	 PFSize: 	 4 	 HypVol: 	 0.99145535 	 IGD: 	 0.00000000 	 GD: 	 0.00000000 	 MaxSpread: 	 0.20034208 	 DomOptimalPoints: 	 0 	 LastPfUpdate: 	 264  	LogFile:	_mogomea_zz_paint_06_02__009.txt	0001010000001100001010010100100000101000001101	896	1555431352
0.134722	1.000000	1809	0	32969802	0.304348 	 PFSize: 	 4 	 HypVol: 	 0.99145535 	 IGD: 	 0.00000000 	 GD: 	 0.00000000 	 MaxSpread: 	 0.20034208 	 DomOptimalPoints: 	 0 	 LastPfUpdate: 	 1240  	LogFile:	_mogomea_zz_paint_06_02__010.txt	0001010000001101000100001011000100010001100010	891	1555431360
0.134722	1.000000	370	0	32944130	0.304348 	 PFSize: 	 4 	 HypVol: 	 0.99145535 	 IGD: 	 0.00000000 	 GD: 	 0.00000000 	 MaxSpread: 	 0.20034208 	 DomOptimalPoints: 	 0 	 LastPfUpdate: 	 2262  	LogFile:	_mogomea_zz_paint_06_02__011.txt	0010010000001110000100010010100010010000101001	873	1555432169
0.134722	1.000000	1700	0	32931516	0.304348 	 PFSize: 	 4 	 HypVol: 	 0.99145535 	 IGD: 	 0.00000000 	 GD: 	 0.00000000 	 MaxSpread: 	 0.20034208 	 DomOptimalPoints: 	 0 	 LastPfUpdate: 	 2747  	LogFile:	_mogomea_zz_paint_06_02__012.txt	0010100000001100010011000101000000110000001110	869	1555432177
0.134722	1.000000	401	0	32910627	0.304348 	 PFSize: 	 4 	 HypVol: 	 0.99145535 	 IGD: 	 0.00000000 	 GD: 	 0.00000000 	 MaxSpread: 	 0.20034208 	 DomOptimalPoints: 	 0 	 LastPfUpdate: 	 795  	LogFile:	_mogomea_zz_paint_06_02__013.txt	0010010000001100001100000110100000110010010010	873	1555432186
0.134722	1.000000	417	0	32951881	0.304348 	 PFSize: 	 4 	 HypVol: 	 0.99145535 	 IGD: 	 0.00000000 	 GD: 	 0.00000000 	 MaxSpread: 	 0.20034208 	 DomOptimalPoints: 	 0 	 LastPfUpdate: 	 1416  	LogFile:	_mogomea_zz_paint_06_02__014.txt	1000010000001100001100010010100001001100100010	870	1555432194
0.134722	1.000000	1303	0	32915070	0.304348 	 PFSize: 	 4 	 HypVol: 	 0.99145535 	 IGD: 	 0.00000000 	 GD: 	 0.00000000 	 MaxSpread: 	 0.20034208 	 DomOptimalPoints: 	 0 	 LastPfUpdate: 	 1400  	LogFile:	_mogomea_zz_paint_06_02__015.txt	0001100000001100001010001011000000110000011010	870	1555432202
0.134722	1.000000	367	0	25170240	0.304348 	 PFSize: 	 4 	 HypVol: 	 0.99145535 	 IGD: 	 0.00000000 	 GD: 	 0.00000000 	 MaxSpread: 	 0.20034208 	 DomOptimalPoints: 	 0 	 LastPfUpdate: 	 1353  	LogFile:	_mogomea_zz_paint_06_02__016.txt	0010010000001100001011100000100001010000001110	274	1555432249
0.134722	1.000000	341	0	27238609	0.304348 	 PFSize: 	 4 	 HypVol: 	 0.99145535 	 IGD: 	 0.00000000 	 GD: 	 0.00000000 	 MaxSpread: 	 0.20034208 	 DomOptimalPoints: 	 0 	 LastPfUpdate: 	 5868  	LogFile:	_mogomea_zz_paint_06_02__017.txt	0100100000001100010010011000100000110000110001	197	1555432257
0.134722	1.000000	691	0	27253333	0.304348 	 PFSize: 	 4 	 HypVol: 	 0.99145535 	 IGD: 	 0.00000000 	 GD: 	 0.00000000 	 MaxSpread: 	 0.20034208 	 DomOptimalPoints: 	 0 	 LastPfUpdate: 	 1377  	LogFile:	_mogomea_zz_paint_06_02__018.txt	0001100000001100100100011000100000110011000001	199	1555432455
0.134722	1.000000	400	0	32945632	0.304348 	 PFSize: 	 4 	 HypVol: 	 0.99145535 	 IGD: 	 0.00000000 	 GD: 	 0.00000000 	 MaxSpread: 	 0.20034208 	 DomOptimalPoints: 	 0 	 LastPfUpdate: 	 2841  	LogFile:	_mogomea_zz_paint_06_02__019.txt	0001100000001100001010100010100000101000001101	878	1555432524
0.134722	1.000000	691	0	25354854	0.304348 	 PFSize: 	 4 	 HypVol: 	 0.99145535 	 IGD: 	 0.00000000 	 GD: 	 0.00000000 	 MaxSpread: 	 0.20034208 	 DomOptimalPoints: 	 0 	 LastPfUpdate: 	 933  	LogFile:	_mogomea_zz_paint_06_02__020.txt	0001100000001100001101100001000000101000101001	254	1555432656
0.134722	1.000000	395	0	32954338	0.304348 	 PFSize: 	 4 	 HypVol: 	 0.99145535 	 IGD: 	 0.00000000 	 GD: 	 0.00000000 	 MaxSpread: 	 0.20034208 	 DomOptimalPoints: 	 0 	 LastPfUpdate: 	 780  	LogFile:	_mogomea_zz_paint_06_02__021.txt	0010010000001100001100000110100000101000011010	815	1555432913
0.134722	1.000000	396	0	33001055	0.304348 	 PFSize: 	 4 	 HypVol: 	 0.99145535 	 IGD: 	 0.00000000 	 GD: 	 0.00000000 	 MaxSpread: 	 0.20034208 	 DomOptimalPoints: 	 0 	 LastPfUpdate: 	 268  	LogFile:	_mogomea_zz_paint_06_02__022.txt	0010010000001110000100001011000010010000010101	836	1555433046
0.134722	1.000000	382	0	27339531	0.304348 	 PFSize: 	 4 	 HypVol: 	 0.99145535 	 IGD: 	 0.00000000 	 GD: 	 0.00000000 	 MaxSpread: 	 0.20034208 	 DomOptimalPoints: 	 0 	 LastPfUpdate: 	 1071  	LogFile:	_mogomea_zz_paint_06_02__023.txt	0001100000001100010100010010110000010000001101	195	1555433054
0.134722	1.000000	646	0	27281008	0.304348 	 PFSize: 	 4 	 HypVol: 	 0.99145535 	 IGD: 	 0.00000000 	 GD: 	 0.00000000 	 MaxSpread: 	 0.20034208 	 DomOptimalPoints: 	 0 	 LastPfUpdate: 	 1259  	LogFile:	_mogomea_zz_paint_06_02__024.txt	0010100000001100001100000110100000101000100110	195	1555433062
