0.238082	1.000000	16194958	72	25000632	0.434783 	 PFSize: 	 4 	 HypVol: 	 0.99145535 	 IGD: 	 0.00000000 	 GD: 	 0.00000000 	 MaxSpread: 	 0.20034208 	 DomOptimalPoints: 	 0 	 LastPfUpdate: 	 232  	LogFile:	_mop3ok_zz_paint_06_02__000.txt	0011100111011110010100000011000101110000001010	100	1555430387
0.238072	1.000000	18853278	108	25000380	0.521739 	 PFSize: 	 4 	 HypVol: 	 0.99145535 	 IGD: 	 0.00000000 	 GD: 	 0.00000000 	 MaxSpread: 	 0.20034208 	 DomOptimalPoints: 	 0 	 LastPfUpdate: 	 228  	LogFile:	_mop3ok_zz_paint_06_02__001.txt	0010100100111101100101001001010110110101111010	128	1555430392
0.238095	1.000000	8923448	73	25000536	0.456522 	 PFSize: 	 4 	 HypVol: 	 0.99145535 	 IGD: 	 0.00000000 	 GD: 	 0.00000000 	 MaxSpread: 	 0.20034208 	 DomOptimalPoints: 	 0 	 LastPfUpdate: 	 156  	LogFile:	_mop3ok_zz_paint_06_02__002.txt	1000000111111100110011011010011000100010100010	124	1555430397
0.238095	1.000000	21788654	111	25000046	0.391304 	 PFSize: 	 4 	 HypVol: 	 0.99145535 	 IGD: 	 0.00000000 	 GD: 	 0.00000000 	 MaxSpread: 	 0.20034208 	 DomOptimalPoints: 	 0 	 LastPfUpdate: 	 140  	LogFile:	_mop3ok_zz_paint_06_02__003.txt	0011000010101010011011000011011001000000010110	121	1555430402
0.238095	1.000000	5489878	32	25000886	0.500000 	 PFSize: 	 4 	 HypVol: 	 0.99145535 	 IGD: 	 0.00000000 	 GD: 	 0.00000000 	 MaxSpread: 	 0.20034208 	 DomOptimalPoints: 	 0 	 LastPfUpdate: 	 94  	LogFile:	_mop3ok_zz_paint_06_02__004.txt	1101000101000111111010101100000101000111011010	92	1555430490
0.238095	1.000000	6755992	33	25000584	0.282609 	 PFSize: 	 4 	 HypVol: 	 0.99145535 	 IGD: 	 0.00000000 	 GD: 	 0.00000000 	 MaxSpread: 	 0.20034208 	 DomOptimalPoints: 	 0 	 LastPfUpdate: 	 164  	LogFile:	_mop3ok_zz_paint_06_02__005.txt	1010010000011001100000001010010000001100100000	95	1555430522
0.238095	1.000000	17960280	88	25000864	0.456522 	 PFSize: 	 4 	 HypVol: 	 0.99145535 	 IGD: 	 0.00000000 	 GD: 	 0.00000000 	 MaxSpread: 	 0.20034208 	 DomOptimalPoints: 	 0 	 LastPfUpdate: 	 140  	LogFile:	_mop3ok_zz_paint_06_02__006.txt	0010011010010011110010100111000110000101010101	114	1555430530
0.238095	1.000000	17880734	90	25000418	0.369565 	 PFSize: 	 4 	 HypVol: 	 0.99145535 	 IGD: 	 0.00000000 	 GD: 	 0.00000000 	 MaxSpread: 	 0.20034208 	 DomOptimalPoints: 	 0 	 LastPfUpdate: 	 300  	LogFile:	_mop3ok_zz_paint_06_02__007.txt	1100100000000000111100100100110001010011110000	117	1555430538
0.238095	1.000000	20398678	84	25000868	0.478261 	 PFSize: 	 4 	 HypVol: 	 0.99145535 	 IGD: 	 0.00000000 	 GD: 	 0.00000000 	 MaxSpread: 	 0.20034208 	 DomOptimalPoints: 	 0 	 LastPfUpdate: 	 182  	LogFile:	_mop3ok_zz_paint_06_02__008.txt	0001100110101110110010110101000001101000101101	101	1555430583
0.238095	1.000000	12966644	58	25000646	0.521739 	 PFSize: 	 4 	 HypVol: 	 0.99145535 	 IGD: 	 0.00000000 	 GD: 	 0.00000000 	 MaxSpread: 	 0.20034208 	 DomOptimalPoints: 	 0 	 LastPfUpdate: 	 146  	LogFile:	_mop3ok_zz_paint_06_02__009.txt	0110001010001001000011111010111110110100110101	101	1555430618
0.238095	1.000000	6015130	35	25000660	0.391304 	 PFSize: 	 4 	 HypVol: 	 0.99145535 	 IGD: 	 0.00000000 	 GD: 	 0.00000000 	 MaxSpread: 	 0.20034208 	 DomOptimalPoints: 	 0 	 LastPfUpdate: 	 150  	LogFile:	_mop3ok_zz_paint_06_02__010.txt	1000011000000011011100101100100011101010000100	101	1555430645
